Agency,Region,lake,LFENZID,Hydrological Year,TLI,MixingPattern,GeomorphicType
Environment Canterbury,canterbury,Maori Lake - back,45724,2021,4.8,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - back,45724,2022,4.5,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2008,1.7,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2009,1.9,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2010,2,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2011,2,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2012,1.6,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2013,1.3,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2014,0.99,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2015,1.8,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2016,1,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2017,1.8,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2018,1.2,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2019,1.4,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2020,1.9,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2021,1.5,Stratified,Glacial
Environment Canterbury,canterbury,Lake Pukaki - southern end,46564,2022,1.5,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2008,3.1,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2009,3.3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2010,3.1,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2011,2.9,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2012,3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2013,3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2014,3.2,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2015,3.1,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2016,2.9,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2017,3.3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2018,2.9,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2019,2.9,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2020,3.4,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2021,3.5,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Alexandrina mid lake, surface",47193,2022,3.3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2008,1.2,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2009,1.8,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2010,2.2,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2011,2,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2012,1.5,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2013,1.4,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2014,1.2,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2015,1.2,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2016,1.3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2017,1,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2018,0.86,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2019,1.3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2020,1.7,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2021,1.3,Stratified,Glacial
Environment Canterbury,canterbury,"Lake Tekapo Centre, surface",47228,2022,1.8,Stratified,Glacial
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2008,4.3,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2009,4.5,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2010,4.7,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2011,4.2,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2012,4.4,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2013,4.4,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2014,4.3,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2015,4.1,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2016,4.1,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2017,4.1,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2018,4.4,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2019,4.4,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2020,4.3,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2021,4.5,Polymictic,Shoreline
Environment Canterbury,canterbury,Coopers Lagoon/Muriwai above beach culvert,47568,2022,5.3,Polymictic,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2008,7.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2008,7.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2008,7.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2009,6.4,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2009,6.4,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2009,6.4,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2010,7.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2010,7.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2010,7.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2011,5.8,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2011,5.8,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2011,5.8,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2012,6.5,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2012,6.5,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2012,6.5,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2013,5.6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2013,5.6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2013,5.6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2014,5.4,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2014,5.4,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2014,5.4,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2015,6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2015,6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2015,6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2016,6.5,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2016,6.5,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2016,6.5,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2017,6.3,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2017,6.3,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2017,6.3,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2018,5.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2018,5.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2018,5.2,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2019,6.1,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2019,6.1,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2019,6.1,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2020,5.8,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2020,5.8,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2020,5.8,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2021,5.6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2021,5.6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2021,5.6,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Catons Bay,47579,2022,5.9,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at Birdlings Flat,47579,2022,5.9,Brackish,Shoreline
Environment Canterbury,canterbury,Lake Forsyth at recorder,47579,2022,5.9,Brackish,Shoreline
Environment Canterbury,canterbury,Maori Lake - front,47859,2008,4.5,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2009,2.9,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2012,4.3,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2013,3.2,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2014,5.9,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2015,2.7,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2016,3,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2017,4.7,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2018,4.1,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2019,4.7,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2020,4,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2021,3.9,Polymictic,Riverine
Environment Canterbury,canterbury,Maori Lake - front,47859,2022,3.6,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2008,3.8,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2009,4,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2012,4.2,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2013,4.6,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2014,4.2,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2015,4.2,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2016,4.2,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2017,3.9,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2018,3.9,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2019,4.8,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2020,5,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2021,4.1,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Emily mid lake,47860,2022,4,Polymictic,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2008,2.8,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2009,3,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2010,2.9,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2011,3.1,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2012,2.9,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2013,2.8,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2014,2.9,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2015,2.6,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2016,2.9,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2017,3.2,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2018,3.5,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2019,3.5,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2020,3.7,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2021,4,Stratified,Riverine
Environment Canterbury,canterbury,Lake Heron main basin,47892,2022,4.5,Stratified,Riverine
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2008,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2008,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2008,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2008,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2008,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2008,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2008,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2008,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2008,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2008,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2009,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2009,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2009,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2009,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2009,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2009,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2009,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2009,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2009,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2009,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2010,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2010,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2010,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2010,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2010,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2010,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2010,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2010,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2010,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2010,7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2010,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2010,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2010,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2010,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2010,7.1,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2011,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2011,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2011,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2011,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2011,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2011,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2011,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2011,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2011,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2011,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2011,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2011,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2011,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2011,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2011,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2012,5.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2012,5.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2012,5.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2012,5.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2012,5.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2012,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2012,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2012,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2012,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2012,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2012,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2012,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2012,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2012,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2012,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2013,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2013,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2013,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2013,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2013,5.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2013,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2013,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2013,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2013,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2013,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2013,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2013,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2013,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2013,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2013,6.4,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2014,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2014,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2014,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2014,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2014,6.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2014,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2014,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2014,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2014,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2014,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2014,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2014,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2014,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2014,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2014,6.7,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2014,6.8,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2014,6.8,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2014,6.8,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2014,6.8,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2014,6.8,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2015,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2015,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2015,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2015,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2015,6.6,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2015,7.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2015,7.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2015,7.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2015,7.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2015,7.2,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2015,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2015,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2015,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2015,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2015,7.3,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2016,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2016,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2016,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2016,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2016,6.5,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2016,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Timber Yard Point,48177,2016,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere mid-lake,48177,2016,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Taumutu,48177,2016,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere off Selwyn River mouth,48177,2016,6.9,Icoll,Shoreline
Environment Canterbury,canterbury,Lake Ellesmere at Kaituna Lagoon,48177,2016,7,Icoll,Shoreline
